R_date,Latitude,Longitude,24/04/1995 12:00,24/04/2000 12:00,25/04/2005 12:00,26/04/2010 12:00,27/04/2015 12:00
DH010_C,24.18,90.54,1.76,2.17,2.08,-0.38,-2.44
DH011_B,24.17,90.51,2.35,3.44,1.88,,2.98
DH012_B,24,90.78,2.29,2.66,2.61,2.24,2.37
DH013_B,23.7,90.42,-10.19,-13.07,-14.47,-15.14,
DH015_B,23.79,90.37,-12.91,-26.62,-53.74,-58.33,-58.65
DH024_C,23.96,89.9,3.26,2.6,2.92,,2.93
DH026_C,23.96,89.83,1.63,1.2,0.99,0.88,
DH057_C,24.11,90.3,-2.61,-2.55,-3.64,-8.35,-12.85
DH058_B,24.21,90.32,2.41,2.68,2.05,1.1,-0.35
DH059_B,24.2,90.74,3.89,4.15,3.76,3.33,3.97
DH061_B,23.74,90.68,-0.23,,1.31,0.91,1
DH062_A,23.53,90.26,2.62,3.89,3.94,3.76,3.71
DH063_A,23.59,90.36,1.2,3.51,2.34,1.25,3.97
DH064_B,23.44,90.37,0.66,1.11,2.18,,
DH066_C,23.71,90.01,0.72,3.45,1.54,,1.64
DH067_B,23.86,89.8,4.14,4.57,4.77,4.64,2.87
DH070_C,23.9,90.39,-4.6,-5.32,-14.3,-31,
DH071_B,23.93,90.42,-3.51,-2.33,-9.12,,-15.13
DH073_C,23.87,90.31,2.82,0.46,-1.17,,
DH075_B,23.96,90.9,3.46,3.46,5.13,3.42,
DH077_B,24,90.58,-1.03,-0.47,-0.18,,0.41
DH078_C,23.96,90.48,-0.47,,-0.72,,-6.77
DH080_B,23.86,90.56,2.49,,2.05,,
DH081_B,23.69,90.72,2.59,,2.33,1.19,3.04
DH082_A,23.66,90.63,2.37,2.59,2.57,2.26,2.23
DH083_B,23.73,90.6,1.31,2.13,1.28,,0.4
DH084_B,23.51,90.54,0.41,1.24,0.73,,1.69
DH085_A,23.46,90.41,0.72,0.71,0.86,0.62,1.23
DH089_B,23.77,90.14,1.28,2.5,1.93,0.28,1.93
DH090_B,23.78,90.05,1.17,1.75,1.74,1.8,1.8
DH091_A,23.76,89.92,3.36,3.53,,,1.53
DH092_B,23.97,90.19,2.71,3.31,4.05,1.52,3.46
DH094_B,24.16,90.31,10.47,10.6,10.43,9.9,9.98
DH095_A,23.58,90.14,0.65,-0.33,0.67,-1.28,0.82
